EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,P2020,P2030,P2040,P2050,P2060,P2070
1,ABILENE,MUNICIPAL,G,JONES,Y,5203,5508,5721,5904,6056,6180
1,ABILENE,MUNICIPAL,G,TAYLOR,Y,117339,122766,127252,130807,133461,135479
2,AMARILLO,MUNICIPAL,A,POTTER,Y,120994,134472,148732,162932,178415,194722
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,98242,109855,121479,133386,146055,159215
7,AUSTIN,MUNICIPAL,K,HAYS,Y,1074,4796,7560,11957,17535,25255
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,976785,1153560,1337673,1464157,1564930,1701504
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,61729,79661,93459,108319,125171,143660
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,130024,138409,147221,157462,168758,181406
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,13514,13998,14122,14122,14122,14122
18,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,4232,4824,5455,6095,6763,7444
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,6925,7066,7152,7232,7292,7339
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,1220,1580,1989,2403,2864,3354
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,104,112,119,123,131,138
23,CASH SUD,MUNICIPAL,D,HUNT,Y,18458,22148,26579,31894,38273,45925
23,CASH SUD,MUNICIPAL,D,RAINS,Y,709,752,764,772,776,778
24,CEDAR HILL,MUNICIPAL,C,DALLAS,Y,53244,65133,76989,83579,83579,83579
24,CEDAR HILL,MUNICIPAL,C,ELLIS,Y,694,884,1103,1421,1421,1421
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,81716,90641,90641,90641,90641,90641
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,10913,11641,12521,12521,12521,12521
26,CENTER,MUNICIPAL,I,SHELBY,N,5589,6011,6383,6736,7066,7370
31,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,70552,72792,78070,82541,86841,91177
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,332002,361618,380234,391134,399244,404674
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,26739,29484,32318,35546,38921,42525
36,DALLAS,MUNICIPAL,C,COLLIN,Y,71320,73220,74169,74169,74169,74169
36,DALLAS,MUNICIPAL,C,DALLAS,Y,1141059,1242191,1420781,1591937,1722709,1785569
36,DALLAS,MUNICIPAL,C,DENTON,Y,29680,32203,36598,40789,43991,45531
36,DALLAS,MUNICIPAL,C,ROCKWALL,Y,77,103,132,162,195,230
38,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,37775,40196,42540,44948,47242,49453
40,DENTON,MUNICIPAL,C,DENTON,N,145000,186773,233749,322996,463472,570694
43,DUMAS,MUNICIPAL,A,MOORE,N,17119,19513,22063,24650,27349,30115
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,57119,66607,75457,84618,93399,101833
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,20100,22320,24840,27570,30630,34050
47,EL PASO COUNTY WCID 4,MUNICIPAL,E,EL PASO,N,8858,9131,9385,9636,9874,10098
